Kr,μ,ϵ,ϕ,η,β,Rper,N0_rep1,N0_rep2,V0_rep1,V0_rep2,σ
2.1426121677075002e7,0.0004336957460634972,0.8422561277820938,-18.346491581532362,0.5196385798088718,144.2947062046381,0.05388719581494163,718509.4668017436,975035.6851906411,4.312285681610791e6,1.160578097802709e6,0.41707059396143664
2.298382009867523e7,0.0005065893363124688,0.8009698885118284,-18.232225866498545,0.424707299875292,160.99225077206034,0.04382193670858535,774763.2122745718,1.0311782608277103e6,4.536616929675683e6,1.3239197705081617e6,0.43707968079796666
2.1850665946199913e7,0.0011669553883685714,0.9293124608137737,-18.187585925439418,0.4631469170682857,118.72453213437302,0.0356057548062236,996215.3230779385,1.2040031950420467e6,2.966689462035317e6,1.2529814499707478e6,0.4359740249947047
2.05062439738834e7,0.0007724523263880734,0.8779255328802167,-18.835057812139432,0.8063550120897778,118.87270894985275,0.06420887543291573,818260.3004142191,1.0028561897859916e6,3.982076648540653e6,1.3480818004216636e6,0.25859395560262677
2.007702348681963e7,0.000993500562706162,0.8980907657662216,-18.396265311791048,0.6552941807874726,84.46077738546796,0.0437611584669918,1.1630832795500183e6,1.3102452968716205e6,2.763549190670254e6,1.4397999188798382e6,0.3765009032869879
1.8692768700705156e7,0.0006814860268170038,0.8768929282192992,-18.56885647032525,0.7423878638623589,138.83180683532635,0.051456746901307186,786863.8240488837,1.0732285681071007e6,3.292794020454093e6,1.0187457992641132e6,0.28565872768060413
2.4627989780379254e7,0.0008812139453788939,0.7334064324576698,-18.586249155007977,0.6768562218137995,145.0579715009665,0.057335664753694435,828334.992511305,1.054872179057856e6,3.1257120727475192e6,1.0911852001889716e6,0.28785287228479506
2.3155629571033243e7,0.0004062835089123883,0.7657508895172964,-18.511387696283634,0.8557521180060085,96.84720811016209,0.0481908761732411,878567.7370844821,956705.9961944951,2.79135184359454e6,1.481375559582152e6,0.2842704537056037
2.2938223661248025e7,0.0003697478247136509,0.7993938188972974,-18.522519313682956,0.8254013979411576,99.24315157086288,0.0489052130997005,841208.4818429416,956518.7591843104,2.8148704365850133e6,1.461081409328794e6,0.2797825330755376
2.2017680564011056e7,0.0002475281083670978,0.8426793703920674,-18.51156155991436,0.6496996321620087,122.96522289748194,0.046049724550343535,1.0051199502328247e6,1.0975529980309154e6,3.063696241831608e6,1.505776589792759e6,0.27777140389048416
1.8058988215175774e7,0.0001233288478461074,0.770074073118983,-18.550630376699196,0.7873793998942333,128.23626382837952,0.11071694534641606,826294.8016849156,975725.2587403737,3.070828433081021e6,1.0920292444216637e6,0.3452782246604192
2.962236442295108e7,0.0037587578720559307,0.7478347025834043,-18.126500572684485,0.3747494088933451,157.4793967953687,0.019574904193886113,866120.4560226295,1.2828009175608791e6,3.121541080194271e6,1.4617828082720875e6,0.4488651539990587
1.9579729218978338e7,0.0003358390924853315,0.6825116440952241,-18.270523850879236,0.5205990138667094,155.38311753591168,0.2161906043454928,920487.6267171677,958401.3184300279,3.4490750006163423e6,1.2211113602065034e6,0.4271470309213663
2.1977098292743497e7,0.00036211757545989676,0.5576459358945487,-18.24189177261418,0.5050280720181143,142.64691992952248,0.1865761272252236,1.065219377501506e6,1.1602140915933296e6,3.0103260803124644e6,1.3738097008794376e6,0.3736151738267625
2.4579516908874575e7,0.0005121390334201807,0.409544162663662,-18.364864290126683,0.5722714413371118,177.60314605357223,0.3851551590510527,1.0376535648449723e6,1.2748473952551675e6,3.3803399945271118e6,1.3434556705541976e6,0.490723587577575
2.612717506334975e7,0.0010318506654142178,0.5277183635814541,-18.502160297577895,0.47981585610094524,174.29943933395992,0.30651901821810695,1.0937877027877811e6,1.2252097310540394e6,2.979516556875316e6,1.3221686487369905e6,0.41226047447627184
3.1112561576601725e7,0.0025987198172417333,0.45604869639568835,-18.327663260669546,0.5757136910122496,116.28452396693037,0.23252864240979765,1.0039619594610194e6,1.1407967426167498e6,3.5023183545052125e6,1.379151034056238e6,0.3932110919234437
3.238804358444325e7,0.00029489322441902894,0.8453599984806017,-18.299294930172415,0.42539181816044347,164.88087781514307,0.014896224426276805,803893.4625753043,993429.1064104636,2.952587321182545e6,1.1337105694840215e6,0.40209009967358134
3.2046704059073936e7,0.00021903587983780466,0.8832636243464682,-18.276360280778892,0.5045268060937163,148.08385562542495,0.01193590623641278,833621.5811857358,977612.3930853482,2.938515384978033e6,1.198350428929386e6,0.42092558880321673
3.1995473958602376e7,0.000355268984707727,0.7568867567059567,-18.110619404794157,0.4331693763473399,126.978649565402,0.01762748552613967,970272.754712767,947153.7445455954,3.5047868007566733e6,1.4349954898848722e6,0.3568359821178703
2.5235088296026535e7,0.0012063588465749215,0.7565147901952706,-18.35594860571558,0.4048140810315738,158.5631383655446,0.03480040304667414,824240.4617242869,1.0379484420240497e6,3.191210092476527e6,1.463132679646882e6,0.48661350617572124
3.212838840743383e7,0.0028079675966395925,0.6467942899731788,-18.176568868464233,0.39089017464659526,141.6833292361058,0.03144897544034024,800155.540839388,1.195152478072658e6,2.819907475695401e6,1.3090471398856062e6,0.408696318330463
3.217223963342029e7,0.0002660159605609702,0.49061585803329094,-18.191550449461083,0.4245892016642123,157.4277985223206,0.17954600081824773,876576.1832322106,968491.8074456927,3.5247878319002423e6,1.4778079152860106e6,0.469443001409529
2.694180924681524e7,0.005195779376965802,0.7505905167118078,-18.115093682083426,0.46244133008779675,127.36427220306751,0.032069443093174554,799771.3559231975,1.167845585591413e6,3.084597886022986e6,999767.6264588551,0.39269262328419147
2.1464934445634995e7,0.0037554515163182216,0.8347953486231579,-17.884302010491847,0.42616648966685156,118.87761960059697,0.03564080803774586,727257.7450419371,990847.2942947233,3.7417149776707646e6,853815.778860114,0.4087937164638929
