DATE;TIME;STRAIN;SALINITY;REPLICATE;CONTROL;POPULATION;PLATE;WELL;DILUTION;FLORATE;COUNTS;CONCENTRATION
29/03/2023 10:57;7.03;RCC1116;15;1;No;Virus;11;F3;2000;8.8;208;47272727.27
29/03/2023 10:57;7.03;RCC1116;25;1;No;Virus;11;F4;2000;8.8;21516;4890000000
29/03/2023 10:57;7.03;RCC1116;35;1;No;Virus;11;F5;2000;8.8;18398;4181363636
29/03/2023 10:57;7.03;RCC1116;40;1;No;Virus;11;F6;2000;8.8;14889;3383863636
29/03/2023 10:57;7.03;RCC1116;5;2;No;Virus;11;F7;2000;8.8;200;45454545.45
29/03/2023 10:57;7.03;RCC1116;10;2;No;Virus;11;F8;2000;8.8;64;14545454.55
29/03/2023 10:57;7.03;RCC1116;15;2;No;Virus;11;F9;2000;8.8;169;38409090.91
29/03/2023 10:57;7.03;RCC1116;25;2;No;Virus;11;F10;2000;8.8;24033;5462045455
29/03/2023 10:57;7.03;RCC1116;35;2;No;Virus;11;F11;2000;8.8;15561;3536590909
29/03/2023 10:57;7.03;RCC1116;40;2;No;Virus;11;F12;2000;8.8;16403;3727954545
29/03/2023 11:08;7.02;RCC1123;5;1;No;Virus;12;F1;1000;8.8;14876;1690454545
29/03/2023 11:08;7.02;RCC1123;10;1;No;Virus;12;F2;1000;8.8;15337;1742840909
29/03/2023 11:08;7.02;RCC1123;15;1;No;Virus;12;F3;1000;8.8;7361;836477272.7
29/03/2023 11:08;7.02;RCC1123;25;1;No;Virus;12;F4;1000;8.8;3103;352613636.4
29/03/2023 11:08;7.02;RCC1123;35;1;No;Virus;12;F5;1000;8.8;3270;371590909.1
29/03/2023 11:08;7.02;RCC1123;40;1;No;Virus;12;F6;1000;8.8;4040;459090909.1
29/03/2023 11:08;7.02;RCC1123;5;2;No;Virus;12;F7;1000;8.8;17438;1981590909
29/03/2023 11:08;7.02;RCC1123;10;2;No;Virus;12;F8;1000;8.8;14514;1649318182
29/03/2023 11:08;7.02;RCC1123;15;2;No;Virus;12;F9;1000;8.8;4706;534772727.3
29/03/2023 11:08;7.02;RCC1123;25;2;No;Virus;12;F10;1000;8.8;2651;301250000
29/03/2023 11:08;7.02;RCC1123;35;2;No;Virus;12;F11;1000;8.8;3093;351477272.7
29/03/2023 11:08;7.02;RCC1123;40;2;No;Virus;12;F12;1000;8.8;3725;423295454.5
29/03/2023 11:16;7.01;RCC1108;5;1;No;Virus;1*;F1;800;8.8;3202;291090909.1
29/03/2023 11:16;7.01;RCC1108;10;1;No;Virus;1*;F2;800;8.8;10949;995363636.4
29/03/2023 11:16;7.01;RCC1108;15;1;No;Virus;1*;F3;800;8.8;4525;411363636.4
29/03/2023 11:16;7.01;RCC1108;25;1;No;Virus;1*;F4;800;8.8;2795;254090909.1
29/03/2023 11:16;7.01;RCC1108;35;1;No;Virus;1*;F5;800;8.8;3678;334363636.4
29/03/2023 11:16;7.01;RCC1108;40;1;No;Virus;1*;F6;800;8.8;6132;557454545.5
29/03/2023 11:16;7.01;RCC1108;5;2;No;Virus;1*;F7;800;8.8;4698;427090909.1
29/03/2023 11:16;7.01;RCC1108;10;2;No;Virus;1*;F8;800;8.8;10111;919181818.2
29/03/2023 11:16;7.01;RCC1108;15;2;No;Virus;1*;F9;800;8.8;3821;347363636.4
29/03/2023 11:16;7.01;RCC1108;25;2;No;Virus;1*;F10;800;8.8;2714;246727272.7
29/03/2023 11:16;7.01;RCC1108;35;2;No;Virus;1*;F11;800;8.8;5070;460909090.9
29/03/2023 11:16;7.01;RCC1108;40;2;No;Virus;1*;F12;800;8.8;5627;511545454.5
30/03/2023 10:40;8.02;RCC4221;5;1;No;Host;16;H1;10;57.92;902;155732.0442
30/03/2023 10:40;8.02;RCC4221;10;1;No;Host;16;H2;10;57.92;778;134323.2044
30/03/2023 10:40;8.02;RCC4221;15;1;No;Host;16;H3;10;57.92;1509;260531.768
30/03/2023 10:40;8.02;RCC4221;25;1;No;Host;16;H4;10;57.92;5196;897099.4475
30/03/2023 10:40;8.02;RCC4221;35;1;No;Host;16;H5;10;57.92;885;152796.9613
30/03/2023 10:40;8.02;RCC4221;40;1;No;Host;16;H6;10;57.92;912;157458.5635
30/03/2023 10:40;8.02;RCC4221;5;2;No;Host;2;E7;10;55.43;975;175897.5284
30/03/2023 10:40;8.02;RCC4221;10;2;No;Host;2;E8;10;55.43;1012;182572.6141
30/03/2023 10:40;8.02;RCC4221;15;2;No;Host;2;E9;10;55.43;1586;286126.6462
30/03/2023 10:40;8.02;RCC4221;25;2;No;Host;2;E10;10;55.43;5858;1056828.432
30/03/2023 10:40;8.02;RCC4221;35;2;No;Host;2;E11;10;55.43;1056;190510.5539
30/03/2023 10:40;8.02;RCC4221;40;2;No;Host;2;E12;10;55.43;861;155331.0482
30/03/2023 10:50;8.02;RCC1116;5;1;No;Host;8;E1;200;48;12071;50295833.33
30/03/2023 10:50;8.02;RCC1116;10;1;No;Host;8;E2;200;48;21626;90108333.33
30/03/2023 10:50;8.02;RCC1116;15;1;No;Host;8;E3;200;48;29909;124620833.3
30/03/2023 10:50;8.02;RCC1116;25;1;No;Host;8;E4;100;48;773;1610416.667
30/03/2023 10:50;8.02;RCC1116;35;1;No;Host;8;E5;100;48;2059;4289583.333
30/03/2023 10:50;8.02;RCC1116;40;1;No;Host;8;E6;100;48;1386;2887500
30/03/2023 10:50;8.02;RCC1116;5;2;No;Host;8;E7;200;48;13783;57429166.67
30/03/2023 10:50;8.02;RCC1116;10;2;No;Host;8;E8;200;48;18482;77008333.33
30/03/2023 10:50;8.02;RCC1116;15;2;No;Host;8;E9;200;48;27521;114670833.3
30/03/2023 10:50;8.02;RCC1116;25;2;No;Host;8;E10;100;48;664;1383333.333
30/03/2023 10:50;8.02;RCC1116;35;2;No;Host;8;E11;100;48;1981;4127083.333
30/03/2023 10:50;8.02;RCC1116;40;2;No;Host;8;E12;100;48;1276;2658333.333
30/03/2023 11:00;8.02;RCC1123;5;1;No;Host;11;E1;25;55.43;16182;7298394.371
30/03/2023 11:00;8.02;RCC1123;10;1;No;Host;11;E2;25;55.43;50718;22874797.04
30/03/2023 11:00;8.02;RCC1123;15;1;No;Host;11;E3;25;55.43;4049;1826177.16
30/03/2023 11:00;8.02;RCC1123;25;1;No;Host;11;E4;25;55.43;13;5863.250947
30/03/2023 11:00;8.02;RCC1123;35;1;No;Host;11;E5;25;55.43;222;100126.2854
30/03/2023 11:00;8.02;RCC1123;40;1;No;Host;11;E6;25;55.43;748;337362.4391
30/03/2023 11:00;8.02;RCC1123;5;2;No;Host;11;E7;25;55.43;17240;7775572.795
30/03/2023 11:00;8.02;RCC1123;10;2;No;Host;11;E8;25;55.43;44767;20190781.17
30/03/2023 11:00;8.02;RCC1123;15;2;No;Host;11;E9;25;55.43;4018;1812195.562
30/03/2023 11:00;8.02;RCC1123;25;2;No;Host;11;E10;25;55.43;5;2255.096518
30/03/2023 11:00;8.02;RCC1123;35;2;No;Host;11;E11;25;55.43;254;114558.9031
30/03/2023 11:00;8.02;RCC1123;40;2;No;Host;11;E12;25;55.43;985;444254.0141
30/03/2023 11:08;8.01;RCC1108;5;1;No;Host;12;E1;250;55.43;10190;45958867.04
30/03/2023 11:08;8.01;RCC1108;10;1;No;Host;12;E2;250;55.43;782;3526970.954
30/03/2023 11:08;8.01;RCC1108;15;1;No;Host;12;E3;25;55.43;1315;593090.3843
30/03/2023 11:08;8.01;RCC1108;25;1;No;Host;12;E4;25;55.43;276;124481.3278
30/03/2023 11:08;8.01;RCC1108;35;1;No;Host;12;E5;25;55.43;671;302633.9527
30/03/2023 11:08;8.01;RCC1108;40;1;No;Host;12;E6;25;55.43;1651;744632.8703
30/03/2023 11:08;8.01;RCC1108;5;2;No;Host;12;E7;250;55.43;9823;44303626.2
30/03/2023 11:08;8.01;RCC1108;10;2;No;Host;12;E8;250;55.43;836;3770521.378
30/03/2023 11:08;8.01;RCC1108;15;2;No;Host;12;E9;25;55.43;1535;692314.6311
30/03/2023 11:08;8.01;RCC1108;25;2;No;Host;12;E10;25;55.43;355;160111.8528
30/03/2023 11:08;8.01;RCC1108;35;2;No;Host;12;E11;25;55.43;650;293162.5474
30/03/2023 11:08;8.01;RCC1108;40;2;No;Host;12;E12;25;55.43;1486;670214.6852
30/03/2023 10:09;8;RCC4221;5;1;Yes;Host;15;H7;100;57.92;29203;50419544.2
30/03/2023 10:09;8;RCC4221;10;1;Yes;Host;15;H8;100;57.92;41724;72037292.82
30/03/2023 10:09;8;RCC4221;15;1;Yes;Host;15;H9;100;57.92;49863;86089433.7
30/03/2023 10:09;8;RCC4221;25;1;Yes;Host;15;H10;100;57.92;63286;109264502.8
30/03/2023 10:09;8;RCC4221;35;1;Yes;Host;15;H11;100;57.92;70277;121334599.4
30/03/2023 10:09;8;RCC4221;40;1;Yes;Host;15;H12;100;57.92;60586;104602900.6
30/03/2023 10:09;8;RCC4221;5;2;Yes;Host;2;E1;100;55.43;31342;56543388.06
30/03/2023 10:09;8;RCC4221;10;2;Yes;Host;2;E2;100;55.43;51018;92040411.33
30/03/2023 10:09;8;RCC4221;15;2;Yes;Host;2;E3;100;55.43;56309;101585783.9
30/03/2023 10:09;8;RCC4221;25;2;Yes;Host;2;E4;100;55.43;77219;139309038.4
