a,b,σ
1.7273590803893392e-10,9.268264662828876e-10,1.9611291656661907e-9
7.416166198018865e-11,1.086747989715154e-9,2.1084455815662386e-9
8.933838603908512e-11,1.1801670098274141e-9,1.9400987936042345e-9
7.430035680056807e-11,1.301721932386131e-9,2.391033367198816e-9
8.665270972571554e-11,1.1627345514073886e-9,1.5816090734397938e-9
9.202356035596938e-11,7.602252291011784e-10,1.431963790895003e-9
9.202356035596938e-11,7.602252291011784e-10,1.431963790895003e-9
9.207530902631319e-11,1.380515498412846e-9,1.7204740073844206e-9
5.991094246812904e-11,1.3972644827747113e-9,2.0719422084221057e-9
4.6698193621614535e-11,1.2648359589831789e-9,1.4503363187509855e-9
1.152109981104485e-10,1.474643858204301e-9,1.6717045704021395e-9
8.803352420862432e-11,1.0528273337744974e-9,1.5508438802146915e-9
9.37728525654019e-11,8.432650733326621e-10,8.912970519052231e-10
9.37728525654019e-11,8.432650733326621e-10,8.912970519052231e-10
9.37728525654019e-11,8.432650733326621e-10,8.912970519052231e-10
7.446034881886309e-11,8.578718085668433e-10,1.1462332282141603e-9
9.241448345687067e-11,1.039200625549737e-9,1.3320714501383385e-9
6.912005458508433e-11,9.928969318920705e-10,1.6184517994064492e-9
6.912005458508433e-11,9.928969318920705e-10,1.6184517994064492e-9
5.4281282118813214e-11,1.594076429798908e-9,1.5326924079323808e-9
6.043148153993669e-11,6.976708730083302e-10,1.4136999996439655e-9
7.778804089346063e-11,8.217387068497709e-10,1.9330403703344696e-9
1.5325060941974507e-10,6.846429405995795e-10,2.73769415342844e-9
8.10415833675262e-11,8.941952970537826e-10,2.1948908800561886e-9
1.3163146640856919e-10,7.280025735310106e-10,2.2254709212748513e-9
1.3577882310882354e-10,7.233093204838835e-10,2.1045332601535855e-9
1.3577882310882354e-10,7.233093204838835e-10,2.1045332601535855e-9
2.579885612635484e-11,1.0928554983409413e-9,7.217216768366892e-9
6.133561217243585e-11,1.494210702640541e-9,7.492526411175853e-9
6.168989432821877e-11,1.6425531660605353e-9,2.3546078508590388e-9
1.0689024255953441e-10,1.1672065090056118e-9,2.04022040112161e-9
