a,b,σ
1.7007673701774677e-9,1.7241986624249955e-9,1.3898574906325198e-8
1.852496036866043e-9,7.667013165861293e-10,1.4016510699054963e-8
1.5545032396031358e-9,1.0659518898382187e-9,2.2481270095382194e-8
1.8593463788421806e-9,1.3055074669005287e-9,1.0586974888358064e-8
1.4168865735650685e-9,1.038981750426618e-9,1.1463322630144965e-8
1.4168865735650685e-9,1.038981750426618e-9,1.1463322630144965e-8
1.6958276978139614e-9,1.4312916366211978e-9,1.0023580056227861e-8
1.7477970060071254e-9,1.3243050746511962e-9,1.786276006586483e-8
1.3241384628366272e-9,9.71553239563234e-10,2.0080962614079594e-8
1.719262572702709e-9,1.5521992328214446e-9,1.0629678620419428e-8
1.508216039329103e-9,1.7616059155720804e-9,1.500286085128921e-8
1.5620841781309158e-9,6.707358188340314e-10,2.0531251912189515e-8
1.5620841781309158e-9,6.707358188340314e-10,2.0531251912189515e-8
1.9672720078385035e-9,6.978532131610845e-10,1.3589719404096176e-8
1.1047097866239904e-9,8.179388624842634e-10,2.0780824820124966e-8
1.9980148196508067e-9,6.014038770457704e-10,1.0859886543754848e-8
1.4232675101897824e-9,5.347403625915085e-10,1.9583395624483465e-8
1.6729979059266197e-9,6.993799894167269e-10,1.1509062805160276e-8
1.6462207670981851e-9,9.367627072263342e-10,1.5863947718868142e-8
1.7626008628208313e-9,9.658804069340174e-10,2.060197219836457e-8
1.6925265977472723e-9,1.1256564930163742e-9,2.0720151128819727e-8
1.5276091966941595e-9,8.736888766578678e-10,1.5691073858249812e-8
1.606717924030543e-9,9.960816024529125e-10,2.194520887703127e-8
1.4510713912395655e-9,1.289429574180976e-9,1.653015258860398e-8
1.4608725753185575e-9,1.2407662069119887e-9,9.32991784101747e-9
1.5927375190272688e-9,8.687597467335973e-10,2.7970622917745042e-8
1.1481256527770038e-9,9.866630561657819e-10,1.1102307622845069e-8
1.3179088916112056e-9,6.619144967270528e-10,1.8061774035418e-8
1.1656499862368036e-9,9.419991089943947e-10,2.3906819387792236e-8
1.4698388441485262e-9,1.0047305355042376e-9,1.9721868525488296e-8
1.7375004550061618e-9,5.1991868696017e-10,1.1189290329449326e-8
1.9144635527232386e-9,5.285757034633687e-10,1.519411756536511e-8
1.8560658202321867e-9,8.786361483561034e-10,5.191156206681876e-8
2.2728595609917698e-9,8.988574774066476e-10,2.4389928188489658e-8
1.462821255994737e-9,6.156416053065773e-10,1.9539296079143105e-8
1.5623022842240635e-9,1.0967207237149302e-9,1.5000822035675786e-8
1.6090788478518027e-9,1.2943968166859924e-9,1.6823672774953362e-8
1.9808054215577645e-9,1.0703269222040119e-9,1.8316582615529393e-8
1.3654959269016765e-9,1.0019297048080812e-9,1.2840450454630322e-8
1.6807987674462415e-9,8.840419363154459e-10,1.4436802061418037e-8
1.5113810755901617e-9,1.0551718980639401e-9,1.4919128841962122e-8
1.5165050210396195e-9,1.460433551264644e-9,1.490143672463891e-8
1.4284143040489392e-9,1.5978705238427683e-9,8.594749126409094e-9
1.4284143040489392e-9,1.5978705238427683e-9,8.594749126409094e-9
1.3564568396232865e-9,1.4092893665071857e-9,1.5252021248246947e-8
1.8433571644710989e-9,2.0896608128859625e-9,1.4887350560293344e-8
1.366536309969741e-9,7.187663904232528e-10,1.4214137172117847e-8
1.525521119042896e-9,7.214472409522693e-10,8.316078385610752e-9
1.525521119042896e-9,7.214472409522693e-10,8.316078385610752e-9
1.529358431883781e-9,8.746752352024333e-10,1.7741470519341616e-8
1.7241967123466458e-9,1.082865143299551e-9,2.0934499428891785e-8
1.660928192486499e-9,8.093499965573445e-10,1.0401837600127484e-8
1.8882937232900314e-9,1.1891238552979296e-9,1.554010883313515e-8
1.4952312269637479e-9,1.2917018061982543e-9,2.616141915804798e-8
1.8594374803674513e-9,7.777956229568841e-10,1.2433654918801086e-8
1.8135262803098548e-9,7.515726056188825e-10,1.2019644578307245e-8
1.6588486524995958e-9,9.003057136640918e-10,9.659252773130755e-9
1.1754834171438124e-9,1.6214461661243423e-9,4.775899339059148e-8
