c,σ
3.110259399283206e-8,2.5051985841715182e-8
4.817496023398046e-8,1.8355632148303956e-8
3.544986486033672e-8,2.9332227505804818e-8
3.544986486033672e-8,2.9332227505804818e-8
3.397519694071523e-8,2.1700084556696132e-8
3.418124196275601e-8,1.4771568823437549e-8
3.418124196275601e-8,1.4771568823437549e-8
3.418124196275601e-8,1.4771568823437549e-8
3.418124196275601e-8,1.4771568823437549e-8
3.596725696173248e-8,1.339992435761583e-8
4.0626904103549155e-8,1.9302367233816647e-8
3.863533061877101e-8,2.0711306454840967e-8
3.674752883155952e-8,3.12487809485323e-8
5.7896050721645165e-8,1.9485620449458715e-8
5.113144941392457e-8,2.695359917125408e-8
3.993466756507175e-8,4.366048531023173e-8
3.993466756507175e-8,4.366048531023173e-8
4.1113763463360474e-8,1.8359489726194462e-8
4.096950179825108e-8,1.6884265403901903e-8
4.096950179825108e-8,1.6884265403901903e-8
4.096950179825108e-8,1.6884265403901903e-8
3.8847083246701324e-8,2.0765391584427825e-8
3.8621134190744635e-8,1.7753081229705382e-8
3.379510510601259e-8,1.552653267803689e-8
2.7910719576456088e-8,1.409237464956823e-8
2.3231816762459196e-8,2.3387094873508854e-8
2.5169008392602813e-8,2.3211288347263422e-8
2.5169008392602813e-8,2.3211288347263422e-8
3.770929588045114e-8,3.045664966544229e-8
4.503345574505772e-8,1.7443041365785946e-8
4.019736437324027e-8,2.536412854712357e-8
4.186876604126052e-8,1.7898114067989838e-8
3.677845667492255e-8,2.364946704354254e-8
3.287149190397214e-8,2.0624345714738323e-8
1.9144534841975973e-8,2.080135108737998e-8
1.9144534841975973e-8,2.080135108737998e-8
2.7194890283752587e-8,1.8574952917256105e-8
3.710205013278692e-8,3.149546343191242e-8
5.238156920164167e-8,4.570168688759305e-8
3.4182458971834194e-8,2.2504590119938625e-8
4.3916558749565455e-8,1.8826179696101675e-8
4.288220647074748e-8,1.84726261211399e-8
3.2889708373035115e-8,2.5932752477240543e-8
3.2889708373035115e-8,2.5932752477240543e-8
3.2889708373035115e-8,2.5932752477240543e-8
3.4682949967639474e-8,1.595906721172408e-8
4.0066672746140575e-8,1.3630341644570179e-8
4.0066672746140575e-8,1.3630341644570179e-8
4.297237776709661e-8,2.239855688326679e-8
3.6625244442902295e-8,1.8382001206156132e-8
4.134579019002637e-8,2.59353571595926e-8
3.34622103525296e-8,1.6605179607737983e-8
3.9092695366124436e-8,1.7827300484010426e-8
3.9092695366124436e-8,1.7827300484010426e-8
4.217553834694302e-8,1.4731758510490144e-8
