a,b,σ
1.4110971101193907e-9,6.26347933671779e-10,5.920751271960877e-9
1.4343583189202534e-9,5.861523098467817e-10,4.055596345718819e-9
1.4358519900226674e-9,6.391051999074827e-10,3.800494272707588e-9
1.3244464673024157e-9,7.038262830215881e-10,2.9510985299790994e-9
1.3002533063068226e-9,1.135442916454365e-9,2.6614904412195942e-9
1.4076873260530862e-9,9.46015806682213e-10,4.437022850314345e-9
1.4498545460877617e-9,8.679906542141343e-10,4.466804480543498e-9
1.3907587794398354e-9,1.1127558423566445e-9,4.1847914516047135e-9
1.4004493368113937e-9,7.011622427127625e-10,4.18835563683763e-9
1.3131142939896117e-9,8.936723712913479e-10,3.3528066007782685e-9
1.3131142939896117e-9,8.936723712913479e-10,3.3528066007782685e-9
1.6815010730325426e-9,8.864127782073807e-10,1.1168175749140862e-8
1.7548822748353428e-9,1.3003864879337698e-9,1.7394145168275347e-8
1.7697172911672028e-9,1.0214889168179796e-9,1.7531811480988315e-8
1.2446193949099683e-9,8.045538175692438e-10,3.771670426341947e-9
1.2446193949099683e-9,8.045538175692438e-10,3.771670426341947e-9
1.3104647426775978e-9,6.805097245073865e-10,4.207988171451966e-9
1.4956519589657698e-9,1.122412369527962e-9,1.6218845457092186e-8
1.1978966985288059e-9,9.343540931459891e-10,5.398978638581331e-9
1.4200280825584188e-9,1.0501445418482336e-9,3.0584457837298924e-9
1.3054461632023182e-9,1.0599097118907215e-9,3.211707265257498e-9
1.3546069984267509e-9,9.908416706757706e-10,3.065071874234555e-9
1.383641863659394e-9,6.633108944548263e-10,4.683818937052355e-9
1.326693496154629e-9,8.868342781405855e-10,3.0717467531826006e-9
1.2818470249830035e-9,8.533626730992413e-10,3.715378574606681e-9
1.3887761294653824e-9,9.307636410083693e-10,7.409672065809408e-9
1.4041516424266808e-9,6.480758109798515e-10,4.166701295884425e-9
1.289523607189731e-9,8.112466495532129e-10,3.480778620973731e-9
1.5538306208908446e-9,1.138502554145898e-9,7.403521970099743e-9
1.531235605400369e-9,1.0213762432757401e-9,8.572429115068716e-9
1.3548350020793202e-9,8.612182048186374e-10,7.713535473671759e-9
1.3580987450497754e-9,1.210131547272462e-9,8.341500079446968e-9
1.281722873468345e-9,6.010085700207933e-10,7.450875017369092e-9
1.3878271358230862e-9,1.990454302519305e-9,1.2946752199314322e-8
1.3196553761982906e-9,1.6116842029508498e-9,1.8894723551913734e-8
1.2372314552789152e-9,2.0042607881060404e-9,1.5669833458269766e-8
1.120297411129174e-9,5.205383254643986e-10,8.063414752726018e-9
1.236315046751152e-9,6.642354206281009e-10,1.0858990719500194e-8
1.2326966072410153e-9,1.1511901923642469e-9,4.1968281714760515e-9
1.3535054611337756e-9,1.317216331592202e-9,3.6787184319846293e-9
1.4054871117584338e-9,1.5552313126269325e-9,5.114822051330557e-9
1.1387523210670487e-9,1.3655695004776984e-9,6.995872543306105e-9
